trial,local_time,node_id,qr_id,unique_id,tx_ok,txhash,txhash_ms,display_ms,total_ms,broadcast_ms_node,height,code,gasWanted,gasUsed,timestamp_chain,sender,contract,network,value_len,subprocess_returncode,error_type,error,stderr,net_emulation,net_profile_source,net_profile_name,net_seed,net_base_rtt_ms,net_jitter_ms,net_uplink_kbps,net_downlink_kbps,net_loss_prob,net_timeout_prob,net_outage_prob_per_call,net_outage_duration_min_s,net_outage_duration_max_s,net_tx_bytes,net_rx_bytes,net_pre_delay_ms,net_post_delay_ms,net_outage_active,net_outage_started,net_timeout_injected,net_loss_injected,net_stage,net_note
1,2026-03-15 19:57:29,node-t-8821,b27162b0cc4f4cfbae210ac5473897c7,c883fcbd9ba5945a8f2b463de25f3cd4cf60699c9a29202f2bbf71f16415738f,True,238F07E0F21A0CE04751904818D99EBDD070C2D1B116D5309C65A7955BB92435,11275.009,4693.961,15968.97,5143.762,117285421,0,1200000,164123,2026-03-15T10:57:22Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,101.346,76.436,False,False,False,False,,
2,2026-03-15 19:58:07,node-t-8821,0cc937d38fa64dad9b3dd2703e324ff6,fdd988bdd6b5a60db9642fe66e9dfdacbe9024536dfa3e797fcbe824b6b79974,True,DD31EE5A05B0AD09D31D2D60F5CD69FCF501B6ED2DF937DBAF4FC7F32ABE99B4,11151.27,4762.346,15913.616,5056.055,117285482,0,1200000,164123,2026-03-15T10:58:00Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,88.701,65.633,False,False,False,False,,
3,2026-03-15 19:58:45,node-t-8821,813eb50e43aa4aaeb8d0a67afa0a2be0,a052e156e94a291dc45453401abbc8d8c3fcf9fd2fd244a97940af013ab635cf,True,8F0B0C521476B8EE27D0501F07B789D3A79693BCCB3E45BEC6B6BE6C074E0943,10853.983,4694.789,15548.772,4724.358,117285544,0,1200000,164123,2026-03-15T10:58:38Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,73.188,72.77,False,False,False,False,,
4,2026-03-15 20:00:11,node-t-8821,40925d80a0d841d0bfa1d383d6bbf261,afbb36efc90e94b3355ff4edc59c79aa2688cb21e698246db97785c1d1fd1018,False,,58978.709,4680.867,63659.577,,,,,,,,,,242,0,EmulatedTimeout,emulated timeout,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,86.337,109.039,False,False,True,False,post,emulated timeout
5,2026-03-15 20:00:49,node-t-8821,04b857fec10143f893389dd7cc03413e,28267de5a0484873ebdc276d4095ff0c1053e4fc39e28973647be71a499cfdfd,True,521415850CF5B48090705CFAEA3D2F6D8ABD618236B8A6445A8588393DD3E2ED,10865.477,4705.37,15570.847,4780.1,117285745,0,1200000,164123,2026-03-15T11:00:42Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,380,71.534,49.208,False,False,False,False,,
6,2026-03-15 20:01:28,node-t-8821,4b2a885c44f14a55aac96eb56c235ef2,072dcb28d2a50413b3e549c58c5ff51bf7a910d19715718c431dfa06c07de163,True,996AA880F2D1683A0391A784BAB9F67D1D0AB83B33C8D0B1682D98745DFB5D80,12328.834,4694.217,17023.051,6214.014,117285809,0,1200000,164123,2026-03-15T11:01:21Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,89.919,79.81,False,False,False,False,,
7,2026-03-15 20:02:06,node-t-8821,e8138cc0fe4e4d7088ae0774e91a1f7e,46e203bb8d71d99e316323cc44a3d0313b1b7ce2eba2f376336e945015caa686,True,8628A003B7D7A9C860CD27C317BFCC06FE4BD286D214D4AF4577AF5C5A25C83D,10934.833,4754.952,15689.785,4884.104,117285871,0,1200000,164123,2026-03-15T11:01:59Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,75.233,39.17,False,False,False,False,,
8,2026-03-15 20:02:45,node-t-8821,629692a2911a485292325a9ccbaa948f,e887106b4bb78795576dae88b6b327b3f087ca2a18b0363b2b08757b21ee5812,True,50B884D9CB664324381239404992B54A88570CC3383F267472D9576CCCE58EBE,11576.432,4705.777,16282.208,5478.218,117285933,0,1200000,164123,2026-03-15T11:02:38Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,97.83,39.46,False,False,False,False,,
9,2026-03-15 20:03:23,node-t-8821,8abc9205b9b147a9a199d5e01fb291a3,7887c1fd244c6118c71f96ae5f981d92db8a9776d51da3d01ddc829e7033a7b2,True,C4CF033A2C239CA189A393C835AFD526766F1CBA48D52A9E550AE7A5BA16C53A,11133.269,4737.615,15870.884,5029.24,117285995,0,1200000,164123,2026-03-15T11:03:16Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,381,98.527,78.593,False,False,False,False,,
10,2026-03-15 20:04:01,node-t-8821,58535caf897a4559ab4220b445468575,0ad81e8ff1388e7a9b2f4fcdeeda96cb445c5af1ff18a1f08714f858df9d36e1,True,10F57F112135F9D2112D1842E0023DF18ACC1989D57C889AD6A503388CD98E68,10977.375,4695.49,15672.865,4773.622,117286057,0,1200000,164123,2026-03-15T11:03:54Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,97.436,86.143,False,False,False,False,,
11,2026-03-15 20:04:39,node-t-8821,bf67ef229e6c4d489ee9edb68ab6c8b0,cbb0f89f04843c42967fcde210459b7aa9f827fecae0f8bce2d241b6531adcde,True,643A4154F8A6B5B84872AAE5360DA419235D71CEC2BACF959CFFD08141D7D38E,10985.6,4695.778,15681.377,4857.378,117286119,0,1200000,164123,2026-03-15T11:04:32Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,85.018,93.96,False,False,False,False,,
12,2026-03-15 20:05:17,node-t-8821,6ee68f1275a24854b47701db84b4debc,7022bd0a1bff478ee089d97a75cd1c73b5a584a2c8b4919c5fdff2950ff476b5,True,702E1A736A3AF174BE899E52F76F2DDFD70C1AE6A12F1419C9BF57B64BFB7C1F,11104.697,4702.187,15806.884,4967.829,117286181,0,1200000,164123,2026-03-15T11:05:10Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,100.696,112.085,False,False,False,False,,
13,2026-03-15 20:05:55,node-t-8821,1e0a773da1cd4876a37198d1f95a51e4,e0c30afe807dad9678631c1c99f831c86aac7b4aafb3fd8145d02973f18840b2,True,B9CFD16D313CEDA38052D1FFF7181E8C7E970DC798BC21B606395201EB5111F9,10998.178,4755.718,15753.896,4958.013,117286242,0,1200000,164123,2026-03-15T11:05:48Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,57.195,45.947,False,False,False,False,,
