trial,local_time,node_id,qr_id,unique_id,tx_ok,txhash,txhash_ms,display_ms,total_ms,broadcast_ms_node,height,code,gasWanted,gasUsed,timestamp_chain,sender,contract,network,value_len,subprocess_returncode,error_type,error,stderr,net_emulation,net_profile_source,net_profile_name,net_seed,net_base_rtt_ms,net_jitter_ms,net_uplink_kbps,net_downlink_kbps,net_loss_prob,net_timeout_prob,net_outage_prob_per_call,net_outage_duration_min_s,net_outage_duration_max_s,net_tx_bytes,net_rx_bytes,net_pre_delay_ms,net_post_delay_ms,net_outage_active,net_outage_started,net_timeout_injected,net_loss_injected,net_stage,net_note
1,2026-03-15 22:10:23,node-t-8821,368e36c7d93a440885a0ef666724c6e4,c9fed8eac57b7a8655a4030f5cb80fab3684250a7a51396b3f1a222b67bec6e2,True,F6F1796C9405EEE9383533FE380C469311A82D423255779740272DD1A1BAB398,10568.177,4693.868,15262.044,4467.841,117298365,0,1200000,164123,2026-03-15T13:10:17Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,101.346,76.436,False,False,False,False,,
2,2026-03-15 22:11:01,node-t-8821,cb46534cc0bb4798a3e7c6e7991f0133,e6321d02c951505f72885a2cdb949985b0daa255982bcd88d831b6e41c1951ea,True,630F4431735249D7801EEFBAAF7DFD2A424F6268D413B1353E4823EEFC4AF41B,10859.318,4700.618,15559.936,4788.588,117298426,0,1200000,164123,2026-03-15T13:10:54Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,88.701,65.633,False,False,False,False,,
3,2026-03-15 22:11:39,node-t-8821,7757f9add1134e27925176de7890f2eb,ad69766986b38a0631cc97c1c0123c74a5cdf90cf0584031c98574d7b36f205c,True,065D8F800649178B6191E5D7F1332D22C9CFFE4F3448C7567C0634A7E22AC1EB,11109.698,4699.342,15809.041,5062.392,117298488,0,1200000,164123,2026-03-15T13:11:32Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,73.188,72.77,False,False,False,False,,
4,2026-03-15 22:13:06,node-t-8821,3f505b8a07d444f6a5303406166a1c0f,6220a58995a64bbc1477b30c8574730bf9a73bdd048f84f1ac526445a962977d,False,,59264.466,4678.661,63943.127,,,,,,,,,,242,0,EmulatedTimeout,emulated timeout,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,86.337,109.039,False,False,True,False,post,emulated timeout
5,2026-03-15 22:13:43,node-t-8821,d441ee19b1fe4bb49ee56eb1983d53e1,f36b6053d9f70c76756957999f55a0ff9d84ad9f26e9775425e6d35d56f59f29,True,08FC9C1F41375121D6FFE618747EA9C6932BFECD14D5AE2E1287CD999005F70D,10836.674,4735.562,15572.236,4783.044,117298690,0,1200000,164123,2026-03-15T13:13:37Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,71.534,49.223,False,False,False,False,,
6,2026-03-15 22:14:21,node-t-8821,c17776fa8d0241c0aa9102c97c98a08e,31abce74dc8890aa5a6df68056543ab74318d98413e9b7bd3bc7c4426a30e46e,True,E276544B10700DC23D241B95AB7531D4F376FCECEDE8F086CEBCA019DEB32517,10854.881,4700.766,15555.647,4724.082,117298752,0,1200000,164123,2026-03-15T13:14:15Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,89.919,79.81,False,False,False,False,,
7,2026-03-15 22:14:59,node-t-8821,9903d54a8742406a91796209c2a64885,dde333e79f83eee4697480997d96a31c30344fcb14b708016ac1404bacc0cf14,True,17B7CBFF985E431A93C6BC40FB83210844B5F9AE3BFE1D3A3BBDF9CB19CDDC37,11110.612,4697.375,15807.988,5093.76,117298813,0,1200000,164123,2026-03-15T13:14:53Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,381,75.233,39.162,False,False,False,False,,
8,2026-03-15 22:15:38,node-t-8821,339d8e167fb848d1bac51578d47b5897,ec45d36cecb9d047106ecbcfe3d7499271c0aa29b0b8970d48e277be72051835,True,A09E77F02362C9B13136038CEA2D8D67B1D1ADC8EEA8FFF977C3D867929970E5,11129.939,4767.154,15897.093,5073.821,117298875,0,1200000,164123,2026-03-15T13:15:31Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,97.83,39.46,False,False,False,False,,
9,2026-03-15 22:16:16,node-t-8821,79809de57fd34272ae090b37d817b8f9,9fa355b6f544f371ea2889914474daa46756f4591c29281cde73448bb3b8a47b,True,0F2DBC2D928670DF601B334EDBA4B5370D54371E0A690804193AF0E693B2DBD8,11443.368,4697.35,16140.718,5317.484,117298937,0,1200000,164123,2026-03-15T13:16:09Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,98.527,78.601,False,False,False,False,,
10,2026-03-15 22:16:54,node-t-8821,c9e6a4efd41d494b9ed0ded41434d657,a8c14034214b5b39fc021a9f91f25248c240fc2ad14d316f264ae037058b9ffb,True,1736914CF7624A084AD3808164B1442644C87DE7CD655698CEEF9A08E7C9C4FF,11097.828,4692.725,15790.553,5012.762,117298999,0,1200000,164123,2026-03-15T13:16:47Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,97.436,86.143,False,False,False,False,,
