trial,local_time,node_id,qr_id,unique_id,tx_ok,txhash,txhash_ms,display_ms,total_ms,broadcast_ms_node,height,code,gasWanted,gasUsed,timestamp_chain,sender,contract,network,value_len,subprocess_returncode,error_type,error,stderr,net_emulation,net_profile_source,net_profile_name,net_seed,net_base_rtt_ms,net_jitter_ms,net_uplink_kbps,net_downlink_kbps,net_loss_prob,net_timeout_prob,net_outage_prob_per_call,net_outage_duration_min_s,net_outage_duration_max_s,net_tx_bytes,net_rx_bytes,net_pre_delay_ms,net_post_delay_ms,net_outage_active,net_outage_started,net_timeout_injected,net_loss_injected,net_stage,net_note
1,2026-03-16 04:49:47,node-t-8821,bdad64362f43425996efc6cbc01309d5,5e17a6dd7efec1e2c927828112f4de5b9c907462e3f80a9155795f6f2c51a41a,True,A138568E817567D005E60B3949368835FA186981E1CD107F1C47FDD6C96BF687,11176.506,4750.971,15927.477,5036.861,117337300,0,1200000,164123,2026-03-15T19:49:40Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,101.346,76.436,False,False,False,False,,
2,2026-03-16 04:51:13,node-t-8821,0307fddfefa74b03874835673a0d172a,d1778f07c047267585afbba16dc48cf4ab2535db367a883258843feb0326ff73,False,,59208.212,4726.733,63934.944,,,,,,,,,,242,0,EmulatedTimeout,emulated timeout,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,88.701,65.633,False,False,True,False,post,emulated timeout
3,2026-03-16 04:51:51,node-t-8821,c49c986fc35f46b5867a4f406d01f9f4,52d90a77f163cda329a88b1dae1b591a356b99b09443ced05fd4536b4a7321e0,True,3995F2965023BF6575C61E1EDB987EE5B04AB5CAB283A3A690457045468F0BD4,10712.457,4727.874,15440.331,4655.519,117337501,0,1200000,164123,2026-03-15T19:51:43Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,73.188,72.77,False,False,False,False,,
4,2026-03-16 04:52:29,node-t-8821,023af4d399244c2b9c5133557092246e,a4ff28537e71ad68395260fc9cee0a08a7455ea6ec0f0439dadf1c376a286215,False,,11314.703,4683.001,15997.704,,,,,,,,,,242,0,EmulatedNetworkError,emulated packet loss / connection failure,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,381,86.337,109.031,False,False,False,True,post,emulated packet loss / connection failure
5,2026-03-16 04:53:07,node-t-8821,d2f8544d0c5e4818a58158073c830023,178b4f3e74a091aa6ff2396438deb69b26c2c151b88289a339b3f78cf53ac2ed,True,6063C870FC86B564F4C7CE03EA1F00413B509EE5EA3B828E2999EEF965C4F005,10955.12,4740.328,15695.448,4927.65,117337625,0,1200000,164123,2026-03-15T19:53:00Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,381,71.534,49.216,False,False,False,False,,
6,2026-03-16 04:53:45,node-t-8821,622c59db08254c3f8372898f98d4cc77,f66706d0229fc22b2af111f80a373458f6b51f3b3f1109175a21334653e313a1,True,B5CDC576A6D4E2CDA01B9FC70C33CA20A69715557F57867B8EEFD458978B38EC,10727.679,4721.718,15449.396,4663.22,117337687,0,1200000,164123,2026-03-15T19:53:38Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,381,89.919,79.802,False,False,False,False,,
7,2026-03-16 04:54:23,node-t-8821,2521920acb8c435da48cae67d84d0ff6,5fd769b0dfd2ab8308756556cbe27c58c3544e41d26b2d7ee7cfb73fb1d165c2,True,5E45A025793D1498E5E384256AC04FB48ECD1D9084FBDB5E979FF91ABF3FAC01,11142.642,4688.64,15831.282,5116.076,117337749,0,1200000,164123,2026-03-15T19:54:16Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,75.233,39.17,False,False,False,False,,
8,2026-03-16 04:55:01,node-t-8821,bc6f94fda2d34d4bab499ce73c650341,3e1a03897329af4b445ea5bc01a95de8fb1fff21394122a07ed9ccf733f2d83d,True,687D01605F4AFF3E193F91D69FB4CA50CA21BD08BACEB767CA7D534625E10318,11190.117,4690.654,15880.771,5113.34,117337811,0,1200000,164123,2026-03-15T19:54:54Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,381,97.83,39.452,False,False,False,False,,
9,2026-03-16 04:55:39,node-t-8821,eeeda02100954963820039299a2a6938,d167edeea2512747ac0fcbd1da261b78ac3586ac98991589b9aa3463df39082c,True,2B9D3201C82E377CA431ADCF59051F35A27E2FD5218E2E0FE64CC24C130EE205,11245.693,4704.277,15949.97,5093.544,117337872,0,1200000,164123,2026-03-15T19:55:32Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,98.527,78.601,False,False,False,False,,
10,2026-03-16 04:56:17,node-t-8821,1957ba78fea54114b8918c8a1e3cb0a9,58facd300f1b49b34b943c94cf80870c634e5ed13bad37f51c5b000aeb21ce20,True,5617845CDD32BC997ED421A1E4C4D216D3958D060AE7E330B7A7C8EC7CAC590F,10932.079,4729.662,15661.741,4832.446,117337934,0,1200000,164123,2026-03-15T19:56:10Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,97.436,86.143,False,False,False,False,,
