trial,local_time,node_id,qr_id,unique_id,tx_ok,txhash,txhash_ms,display_ms,total_ms,broadcast_ms_node,height,code,gasWanted,gasUsed,timestamp_chain,sender,contract,network,value_len,subprocess_returncode,error_type,error,stderr,net_emulation,net_profile_source,net_profile_name,net_seed,net_base_rtt_ms,net_jitter_ms,net_uplink_kbps,net_downlink_kbps,net_loss_prob,net_timeout_prob,net_outage_prob_per_call,net_outage_duration_min_s,net_outage_duration_max_s,net_tx_bytes,net_rx_bytes,net_pre_delay_ms,net_post_delay_ms,net_outage_active,net_outage_started,net_timeout_injected,net_loss_injected,net_stage,net_note
1,2026-03-16 02:40:38,node-t-8821,8790152e55d54f3aaf17a205f26ddf2e,ec2c3a8bac9e4bfff1b883f949c63c0d6b13c51ed84097aa2462e09beae7e1f0,True,15D472E15711D49130A99D3C9BCF316DB68843BF10C64F38FEDA51D0660C5AB2,11314.552,4748.173,16062.725,5167.75,117324719,0,1200000,164123,2026-03-15T17:40:31Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,381,101.346,76.428,False,False,False,False,,
2,2026-03-16 02:42:04,node-t-8821,d6a0b4784eff4f50a51a888a32de0f61,76760ce39bca9ebd6041939e246a4fb4e65ff3a2b57cb8a0e61572fd3dfaf722,False,,59374.071,4675.327,64049.398,,,,,,,,,,242,0,EmulatedTimeout,emulated timeout,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,381,88.701,65.625,False,False,True,False,post,emulated timeout
3,2026-03-16 02:42:42,node-t-8821,88782f4fee254011b1211391e5d2e900,7324d2793c9264ff7c1061178676ca52eb7e5bd22ddc392f2b84121bf7605e73,True,3D4713E5D3BEAA194B0F8055DEBE7C6F42E5516F799F46DC115BF06C09024AD6,10759.508,4689.211,15448.719,4710.491,117324921,0,1200000,164123,2026-03-15T17:42:35Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,73.188,72.77,False,False,False,False,,
4,2026-03-16 02:43:20,node-t-8821,a914722f36184659879c55d4b3261f69,1e0f3585931ee5e5e05821604976083afd9ed2850932647fa32c2666076559a5,False,,10901.577,4731.475,15633.052,,,,,,,,,,242,0,EmulatedNetworkError,emulated packet loss / connection failure,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,86.337,109.039,False,False,False,True,post,emulated packet loss / connection failure
5,2026-03-16 02:43:58,node-t-8821,d01613b8ab1f4a9c9c99745467f6ce0f,7e3977e899b9171f29c052f379002ad3be14d316c57a9e5312083d8e2483813f,True,6F7C02677A88F4F2C28BE917D398E04B8EDC125CAE28A60CD736454588BE0ED0,11223.107,4687.221,15910.329,5166.98,117325044,0,1200000,164123,2026-03-15T17:43:51Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,381,71.534,49.216,False,False,False,False,,
6,2026-03-16 02:44:36,node-t-8821,257119dde4cd459188e8806b467a3c24,362e4516d724932c623efc85c1fe39b4d610bc9806954c057620291d5af14e61,True,5C6FDAD82CFDFA9BB5BDD15F079D237F4C9E2C6C3FDADE94BA8F5A14A3B9C4C7,10585.715,4686.039,15271.754,4494.024,117325105,0,1200000,164123,2026-03-15T17:44:29Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,89.919,79.81,False,False,False,False,,
7,2026-03-16 02:45:14,node-t-8821,d3c5b85850924591aa31c57beeec0aea,6fa0bd81130eef0258e6add01d338e34324a661b943fc07c6eae9f4d2cec6738,True,6F601E6A1AA5DAE5D6C6C7F14296D2F313BEB1A42E32F223694AE5AF69AFAECF,11329.07,4688.34,16017.409,5301.018,117325167,0,1200000,164123,2026-03-15T17:45:07Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,75.233,39.17,False,False,False,False,,
8,2026-03-16 02:45:52,node-t-8821,c4a87afe61af4081ac1d9ae70101d946,c491c58343f4d87c4e83b8a0fdec53704696b8e2bba79b156dffd710e7a92bf2,True,42CCB93745AA31EE02D6A6661AA490ABE65331947F5F50EC38C9E9C00581B9C0,11353.538,4726.343,16079.881,5292.736,117325229,0,1200000,164123,2026-03-15T17:45:45Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,97.83,39.46,False,False,False,False,,
9,2026-03-16 02:46:30,node-t-8821,8ed5ac08b3bb42dab2e77c51dccbec10,75fedb107bb2dc82b1fae320eb9d9a2ce091c8ee2e923d07590715a1959f5975,True,5163455CFD3EBD58A326CFD8AA14E18BB067915164CBE69629A7A66C44BA149A,10779.634,4702.184,15481.818,4599.802,117325290,0,1200000,164123,2026-03-15T17:46:23Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,98.527,78.601,False,False,False,False,,
10,2026-03-16 02:47:08,node-t-8821,6f7290e023dd447e8bc46db920226554,8f1b2998d069d2f6bd0aae00d2e0576823870f3812656711d7b45335d2b02e21,True,9ECEA6A15DFEA3685CCC69F50F02B452CA4AD14786F82E5621843B9591007B06,10941.231,4739.483,15680.713,4824.429,117325352,0,1200000,164123,2026-03-15T17:47:01Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,97.436,86.143,False,False,False,False,,
11,2026-03-16 02:47:46,node-t-8821,14d528efb964447fbdd44bde88c6903d,04cc94d4325597c873223ca59578075de1051540c9a015a71d03aa1c7a3af24e,True,804A7ABFB9EDED4B38F4EE17266A3A243E765DE53BF18C5FC867FB7AEA3B9F9F,11040.22,4695.593,15735.812,4940.221,117325413,0,1200000,164123,2026-03-15T17:47:39Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,85.018,93.96,False,False,False,False,,
12,2026-03-16 02:48:24,node-t-8821,40cc42ddaf9249dfae02288f642219d2,a34216f365ea909d087c3ec11dded1bb87d4882613d1dcceb65439bedbd44e4a,True,05DB54F67B5EBBFB3E48B3E6AA42FE3F9E44379F33E164CB646F2BAE74C70238,10927.584,4754.407,15681.99,4758.902,117325475,0,1200000,164123,2026-03-15T17:48:17Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,100.696,112.085,False,False,False,False,,
13,2026-03-16 02:49:02,node-t-8821,f54c0ca5333f44c0a6f45507cab87a16,c18fd0ccb6056da35e1b7b886ace7884b18e84ab38c04100c0967b254326bc25,True,01FE2DAE23B3A6185A52B238BF8958711C7E6070135B801DB2A43A3F9B4FAC15,10834.389,4692.284,15526.673,4767.218,117325537,0,1200000,164123,2026-03-15T17:48:55Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,57.195,45.947,False,False,False,False,,
14,2026-03-16 02:49:40,node-t-8821,c5b6c09e7d4643e9b626edf0e1476b39,3bffd692f044e2dde473666d24005cd1c3ffe8a7189ed9e005ccf2bfc7d5878b,True,C20047990145F90E3DBD1C291B07C31FB42070E201151FF0F90247DB4490F3E8,11235.507,4692.522,15928.029,5163.347,117325598,0,1200000,164123,2026-03-15T17:49:33Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,80.485,79.948,False,False,False,False,,
15,2026-03-16 02:50:19,node-t-8821,2fbbac3434704d78b034d30581968c16,736bda45ce5dc1397af181967e5d380528e153c530ba33eeba167f7fec707714,True,37DD537E369A9BBEBD690D936937EC6A5DB28FE7B720660024E0CEE1DAA1E50A,11775.375,4698.279,16473.654,5657.706,117325661,0,1200000,164123,2026-03-15T17:50:12Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,132.213,53.244,False,False,False,False,,
16,2026-03-16 02:50:57,node-t-8821,8f580501ea4448c888bfd93888b8a1a7,0b77d59b07892524c99712338f892d9234f6ac17c155eb6d697583a4bc650886,True,A4B50D50247A7E2F6F2105415C23A9FD6B11196B892C364A7E73296AC5E3D67F,11264.761,4689.149,15953.91,5146.738,117325723,0,1200000,164123,2026-03-15T17:50:50Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,105.75,57.396,False,False,False,False,,
17,2026-03-16 02:51:35,node-t-8821,f293cd1eeaea4d1da9c212e4528329c9,b4f567efd45a20620c5e917422184775b353ac7c2cde3020bdd1421b5c65dc40,True,BA8C8CCF477462EA3AD6EF0C933D16C05DA8E7F93983284EDF215D4C0EC2F1DA,10945.806,4749.819,15695.625,4811.67,117325785,0,1200000,164123,2026-03-15T17:51:28Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,381,76.647,109.311,False,False,False,False,,
18,2026-03-16 02:52:13,node-t-8821,d3aa9256b5ff4671b301a08958f7913e,417115fd3c30b9396a94a51f0e2af55810628b8a57a891e75251b0b712ede8d0,True,58353E95C3269461F3D30EF388AAA5E2F0384E6978B78D5DDC94BF5DFD8ADF60,10937.959,4753.034,15690.993,4829.768,117325846,0,1200000,164123,2026-03-15T17:52:06Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,112.384,72.477,False,False,False,False,,
19,2026-03-16 02:52:51,node-t-8821,e5caf27d80544ae2aa77a2d08c72d669,ab920e868feba42eb52702e793bf64cc1d7b817209f49d0c558ec27513bbbecd,True,2A6BEBFFCC3EE2CF5228D3DFCC71AED69B9262A5EF6307ED9C682F7FA52C7FB2,10801.876,4687.533,15489.409,4767.689,117325908,0,1200000,164123,2026-03-15T17:52:44Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,45.632,37.995,False,False,False,False,,
20,2026-03-16 02:53:29,node-t-8821,c0f522809b804c469c40b74e71da27a5,c5ee9d51570051a1d6e70c162c2176171083171b3ce9c9f39b46ed0b11a1e719,True,5698BD8B4D87DAF3CB3814EB0F4D4D2D6B6513F2F322A4B4A84905AE8680318D,11331.82,4685.155,16016.975,5228.337,117325970,0,1200000,164123,2026-03-15T17:53:22Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,113.303,72.162,False,False,False,False,,
21,2026-03-16 02:54:07,node-t-8821,9c42b2679fd34cebb42acaf83003e2de,4d8c05f6a0dfdc8ee6c3cf2c57e53b4ecf0d5c67ff4913d3ff0ed0c7ae0ac69a,True,4F3DF3FC3D87B275148469346B5B3F6F2AE3AD6355C61C371B3F5C8CAF0CD48D,10821.915,4721.123,15543.038,4806.112,117326032,0,1200000,164123,2026-03-15T17:54:00Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,71.951,32.075,False,False,False,False,,
22,2026-03-16 02:54:45,node-t-8821,5fa7e4257c674756a016be7a4136b1a6,126afee8965a288fd89a704415f2ae8a1db17cd60662cf6a6711b890c00fcf79,True,6003155E4586483617C30E0BF0DC16893D8BA86BF345E268E7191204FBD20B8D,10971.176,4688.264,15659.44,4794.594,117326094,0,1200000,164123,2026-03-15T17:54:38Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,102.013,91.929,False,False,False,False,,
23,2026-03-16 02:55:23,node-t-8821,963b43d3bb3540a2ae1b3a16fb1c19ee,de8647392d42ca1437d441e28cd6278e30b7a33de4454f2e18c7fa81c8fc53b9,True,26DC1E042F3BD7A55EB5E2F65397AD1DD16371FCA55CA72501B28809FAAF36FA,11049.488,4763.943,15813.431,4937.957,117326155,0,1200000,164123,2026-03-15T17:55:16Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,76.84,105.276,False,False,False,False,,
24,2026-03-16 02:56:01,node-t-8821,44532e543412464186af94fbe432a208,518e0f57f6c83d45ca1fa6fcf6fe9e13ffb7ea21a2a2fd42264b53db071f71e3,True,43F52015EB049D474CC60C06C4130EF787BE0195F13DA2965F4ADC6145494807,11047.011,4715.246,15762.257,4874.694,117326218,0,1200000,164123,2026-03-15T17:55:55Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,67.798,110.433,False,False,False,False,,
25,2026-03-16 02:56:39,node-t-8821,0f48e7dcf02d4d7da63392f31814577d,a0a7ca4a74d51a4510dffa2245ee5dd9657a7ea7d849815d8f3741bc25316174,False,,10939.382,4722.026,15661.408,,,,,,,,,,242,0,EmulatedNetworkError,emulated packet loss / connection failure,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,33.26,61.288,False,False,False,True,post,emulated packet loss / connection failure
26,2026-03-16 02:57:17,node-t-8821,1429507a294b47ea900b86ec8ed94ca8,40a609314f7b020c479969dc10825c38b4260560df2162dbc86bf034160a8731,True,9A9A5A7CE249EAD3D589A271BC3DA2CBB26A26F70EDFB377060BC748F455965E,11134.688,4743.409,15878.098,5011.598,117326340,0,1200000,164123,2026-03-15T17:57:10Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,142.357,80.707,False,False,False,False,,
27,2026-03-16 02:57:55,node-t-8821,e32721528e2a4eab84d8c7a7a67ef12c,22e902b44e979473cdf8e9da119d1ddde477749d45b95440adbe9a60e2f59d70,True,6DC2F0807329DD66862DDB4CC7AB87BD20F21413A857B41D898E67ED8467414C,11087.515,4709.565,15797.08,4905.455,117326403,0,1200000,164123,2026-03-15T17:57:48Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,132.277,93.065,False,False,False,False,,
28,2026-03-16 02:58:33,node-t-8821,68b1ed12739a47adbaa7ba693be46aa8,e885286e8596e33bf782a02fbd95cda66d905001755510353ea633a7185a470d,True,C0232E6E7F19E65981AF24B06B9DCC1356CC8FF47A0A6ABE8308E9B3CB2B6564,11123.278,4741.182,15864.459,4982.438,117326465,0,1200000,164123,2026-03-15T17:58:27Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,121.735,92.575,False,False,False,False,,
29,2026-03-16 02:59:11,node-t-8821,9f32a7ab16514ceaad1ab89eae222c82,2775669f2dddb08f16fd4b2c90c53ccc211e6964d88bf53fdfd2b35f8470e354,True,30F0D1BE7099FA25604BEC10E4D5E93D7B01D3FB1B296A1FF24F17F3B652021E,10607.747,4726.842,15334.589,4534.853,117326526,0,1200000,164123,2026-03-15T17:59:04Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,59.028,66.34,False,False,False,False,,
30,2026-03-16 02:59:49,node-t-8821,7b94caa5322f473d8398a5b03b49806b,f468cdcd354f2894a4ff58766c2164bafc82f5c0f27922705f5da94b4fe4493e,True,3AE37A66F2D46B8ADBB1FE21396F396B86E51029DCCA7E559ECB99B71E61459E,10767.11,4728.892,15496.002,4739.917,117326588,0,1200000,164123,2026-03-15T17:59:42Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,36.415,62.109,False,False,False,False,,
31,2026-03-16 03:00:27,node-t-8821,3cf5986c87ad4292b191606992e724b5,6ebe73a21757fc51cb625772371e69f2acfcfdf724724af37ba936ab150128c1,True,B462927DB76697ADAFDD0E97B53DAFA267FC4271075E814509B89A8BC9DE2FDD,11347.841,4692.138,16039.979,5203.344,117326650,0,1200000,164123,2026-03-15T18:00:20Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,62.189,49.11,False,False,False,False,,
32,2026-03-16 03:01:05,node-t-8821,c068e3998e2a47d28feecb50d51d821d,146d6f73f81a019f257daa7aa3e6cc4af5bbbb1d889811b9c5fbb1ec0cbbf181,True,D3FA52716E2D9A4D29A946EC20956152D0D371AEFA2004CB2623A63C6AAB41F2,10911.45,4743.793,15655.243,4779.446,117326711,0,1200000,164123,2026-03-15T18:00:58Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,60.305,104.152,False,False,False,False,,
33,2026-03-16 03:01:43,node-t-8821,af492e5b98104250be483b8d0df94f40,a8629ce299c01b2a94cc0fff740d8d22c0bb455f86ec30968618c3006adbd707,True,675297105E1FD1AB19D920DFFD058F494277BF814DB630341D898A43D38BFCAA,10990.537,4764.326,15754.863,4991.07,117326774,0,1200000,164123,2026-03-15T18:01:36Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,381,66.088,58.427,False,False,False,False,,
