trial,local_time,node_id,qr_id,unique_id,tx_ok,txhash,txhash_ms,display_ms,total_ms,broadcast_ms_node,height,code,gasWanted,gasUsed,timestamp_chain,value_len,error
1,2026-01-31 16:13:17,node-t-8821,43b08d3e27bc4ea0964213f801cfc69a,254034303e02f9c894c05049bbc653ebe893e52290359b314d742cdf74f9e862,True,CDD1B976EF9D00BEB161CC2A0ADF52DF8FDDECD5E3972D7B0E9DA45DA87AB806,9652.198,4694.79,14346.989,3689.626,111343650,0,1200000,166566,2026-01-31T07:13:11Z,242,
2,2026-01-31 16:13:54,node-t-8821,eb0ce78862284ca3bc452991670d99df,c1cbef56a527c61fea2d680162a8a7e874b2a98e9e1a52973309800bd36e6782,True,BCDEB18714986F7EF09AC31233E027E182D55FEE6EE062A4703305E9AD9E532C,10165.239,4699.068,14864.307,4155.859,111343711,0,1200000,166566,2026-01-31T07:13:48Z,242,
3,2026-01-31 16:14:31,node-t-8821,fe981454c2bd476d8cfa1b42fc2433df,d929ed93b4c7972a1309ef25962170880cda28dba6f5166238152c6e14c91e41,True,5A87937A5E1D44592390FC84FAF9577C1975449C1C32BA2120D773466D41E403,9807.741,4726.777,14534.517,3847.397,111343771,0,1200000,166566,2026-01-31T07:14:25Z,242,
4,2026-01-31 16:15:08,node-t-8821,eb9930913dfd4df3a0d86cf0282a491e,73cefb28b0c3f101eb8a8deb6913c1d02c7f2137ff1202ae1a5664c8e3dcdf5c,True,9FC9E6DCACC118340E0AD46AC99DE3D2D445B596065EB3E3ADC76ACF3CC7DCD2,9912.384,4742.439,14654.824,3983.078,111343831,0,1200000,166566,2026-01-31T07:15:01Z,242,
5,2026-01-31 16:15:45,node-t-8821,6a83a3d10af04a1e801262c875b160d4,1bfdbb690e83b94ba80c31ba30626c5ee01d32eb89d5f9b838369886a866822f,True,27E6EE9BBAF73F2B5B6B09C9BF17E245E4D3ECCE939B9A63F903A864B10A1991,9389.36,4742.491,14131.851,3442.555,111343891,0,1200000,166566,2026-01-31T07:15:38Z,242,
6,2026-01-31 16:16:21,node-t-8821,02e80fdb8f444e5cbbaa6b188a18a62b,204e2731e3c4c0c1d320028da7d79995a56f99d70f6305e5ea68993e31e46d8c,True,067A8D028994D68B95B691E85799C46FEB8E25CF3AC9E63155DB2D4D73292F4B,9657.376,4751.628,14409.004,3688.959,111343951,0,1200000,166566,2026-01-31T07:16:15Z,242,
7,2026-01-31 16:16:58,node-t-8821,4a7e847f731a4edfba3749ee0fdec51d,47461f719db9b2d94f799dcef29d3b732793dce46f4a8db72fff42a47d630986,True,43AA18BF69718CFDE11777A407C9BC62C40F79BD6C0941B547BA55C5D2F95C41,9799.935,4749.583,14549.519,3809.965,111344011,0,1200000,166566,2026-01-31T07:16:52Z,242,
8,2026-01-31 16:17:35,node-t-8821,ac55e36c8f374dd9a2998c968d6ffe2e,53130ea3a37a4f39660be5f3d3fe0ef78bd8e8c786f34c16913dd931dcb89779,True,2EA19B32D83AAC165646A34CFA6B47D291A5BCD4E036EA5F9EC8D6717698F4AF,9906.649,4751.439,14658.088,3926.908,111344071,0,1200000,166566,2026-01-31T07:17:29Z,242,
9,2026-01-31 16:18:12,node-t-8821,a05aa3b9c24945aeb3057cc451da7823,34ee0a1999fb5bc07bbeacbc1f2607bb8ffef766378ec29199bd70391895fcf8,True,FD5C3282A0F1A2A42A54F8E75AE37242C57C5DD0A9CA581CB7C79971D5874247,9817.334,4758.025,14575.359,3806.726,111344131,0,1200000,166566,2026-01-31T07:18:06Z,242,
10,2026-01-31 16:18:49,node-t-8821,4fc825fc14804ff290793af54f652900,9d4019306cb5e571c9de2f647390c97a1a6adbd1df5a365946cf93a51a4f83fc,True,D2ABBC84015C5B0CFE10F5F324F011A4324A9164E377A418716C9DE7C8D2765A,9851.042,4743.377,14594.419,3847.592,111344190,0,1200000,166566,2026-01-31T07:18:42Z,242,
11,2026-01-31 16:19:26,node-t-8821,41d35ba583af4a9a89131494e7335fb6,52c533ba9015e05555b935fc774cd1de441ff58c7f1bac2bcf00ea434e9d1f88,True,6EC8DAE46C56E0AF4F7678384E2922051BB525489B2AC510D9AC4BE65ACC9736,9569.473,4751.129,14320.602,3561.56,111344251,0,1200000,166566,2026-01-31T07:19:20Z,242,
12,2026-01-31 16:20:02,node-t-8821,173da45ff1df40edb89bc59aef019d62,279cce288a98d531ac6ed7f7e1d3c611df4bc46069876798cd7855c81bc4c3db,True,732F34D8B13306864EA1A1DE1F50C9004F3AC4A110C6800DB8D93A44F2829682,9509.646,4765.364,14275.01,3515.532,111344310,0,1200000,166566,2026-01-31T07:19:56Z,242,
13,2026-01-31 16:20:39,node-t-8821,f3715f25b8e94339ba282300e4215b0c,d398b39188643a9a2b5a0778ec7653fc6b41280be8e92ecc4dd3dbe6933bd9c7,True,46B3AC9D7937CB7E59C8990EF9D76F703BAFF4C6E589E469B3CC4393D2F92E21,9898.959,4750.49,14649.448,3880.077,111344370,0,1200000,166566,2026-01-31T07:20:33Z,242,
14,2026-01-31 16:21:16,node-t-8821,4d1d3f8fc35e48939a4373f311a8f771,650d7d2789e4ced94e0fb540f7e0f498fb326edf258318730744c8e9deea0f6e,True,4C52A2233AE1AD18C88A4D540EE2AE05C956DA45E495597160F8F089416BB3CD,9637.987,4744.582,14382.569,3658.765,111344430,0,1200000,166566,2026-01-31T07:21:10Z,242,
15,2026-01-31 16:21:53,node-t-8821,7d49b3c784f84cad809635348808ad97,0c8501fdfb20860f3e9a721b3a29ec555cf91c215c6dc218915057aa54a97931,True,A586E56982EA20894344E324F2AD83C10E93353BC0B055AAD94505921EACE1A4,9755.296,4748.838,14504.134,3776.722,111344490,0,1200000,166566,2026-01-31T07:21:46Z,242,
16,2026-01-31 16:22:30,node-t-8821,65618591ffa3494684538884dcbb6ae1,eae8a8f378e59c2bb37f3a76dae1cc73b2dcad7ef7701cf1166455ae3fc72f16,True,58E6BAB19B5E7D14C718463921A2333D1F62C48951A0AFFB28307E60803043C3,9856.647,4734.961,14591.608,3888.085,111344550,0,1200000,166566,2026-01-31T07:22:23Z,242,
17,2026-01-31 16:23:06,node-t-8821,eb9469d351d5482387fd5302173dd61b,5a4e20d2a4bebb6e4d3124e93280e9c0394354a876863f8882f9ac41416b4f2d,True,52610D21D4FF7E8401754866246B3121460710FAC70A3132817EED3FCFCCA9BB,9557.859,4722.863,14280.722,3585.903,111344609,0,1200000,166566,2026-01-31T07:23:00Z,242,
18,2026-01-31 16:23:43,node-t-8821,b457d0f8cd2d48088253b5c20f5eaabb,1315c8f17d0f93dff5287be2445c19598202632e34633f151b85341d03b97e7b,True,38D61886FF211841ABE73FDA5D1F803D117B0759B7AD2D0482CCEE81DD0F7353,9440.172,4749.539,14189.711,3448.043,111344668,0,1200000,166566,2026-01-31T07:23:36Z,242,
19,2026-01-31 16:24:20,node-t-8821,08fb68a2f57441b3ab5633887dab98be,1fdfff19ca39cf733f6cd34aadb962a59bcf52399cef87109d3f365f855aaa19,True,F2FC0379BD86A691D9E795415F430DF5AFF2C7F1B4F448424E27D449C14B26D5,9734.086,4754.839,14488.925,3721.454,111344728,0,1200000,166566,2026-01-31T07:24:13Z,242,
20,2026-01-31 16:24:56,node-t-8821,20d97464a817425a9005dd7f3684048d,9aec6b98edd748a7be7919689f6ac7812a4562c06f8d565960ce3ecdfc0775af,True,7339BABE4D8D48BDCAEF7816CDEAB2601ECA14073B4A54D1862CC2BC9F52419F,9680.578,4748.565,14429.143,3649.66,111344788,0,1200000,166566,2026-01-31T07:24:50Z,242,
21,2026-01-31 16:25:33,node-t-8821,3178f4c084834496a0d15fcfe696b6f4,fd80054b985b4cdafa09d2feb0e965e149ecc34055908e59455204258fdef1c9,True,4E6093526A51ECC97F05944C58C87C33E878E7C21D0F307411CE0A90162C4717,9723.429,4758.742,14482.171,3744.815,111344848,0,1200000,166566,2026-01-31T07:25:27Z,242,
22,2026-01-31 16:26:10,node-t-8821,b4261121a9f34152a98a41e0756d8138,d02a55ff725b7ecd31d50581fbc36c3eea62ee4af21b89973356cc28838bba1b,True,2A82F2D4C6C1166C13ADBE3E698DA534E5A4D5125CA2B7C40BC103AAE7D9072F,9913.325,4745.072,14658.397,3967.006,111344908,0,1200000,166566,2026-01-31T07:26:04Z,242,
23,2026-01-31 16:26:47,node-t-8821,d378d67cc0a9408da91ceb4b07e131f3,af37d9003576664e994f7daca1bb1b26e4efea47fe86e4e91bb8aa97b48b2937,True,0AB66178C8524F7B19A4312BEE7DCEFDB59A3868D3D3FFFD5D777C98CDF028CD,9589.665,4738.227,14327.892,3638.942,111344968,0,1200000,166566,2026-01-31T07:26:41Z,242,
24,2026-01-31 16:27:24,node-t-8821,89f5575acd8f4da0b60581489d254366,d51a8f7d880dd0c541935806f4a6c68d0a5ca989e7d118584dfe92617ed4303e,True,878659DD4DA13CE8FBABF4CEAB8EE7591A6DF2467D135B539B8E166A210FCA0B,9810.66,4740.753,14551.413,3854.328,111345028,0,1200000,166566,2026-01-31T07:27:17Z,242,
25,2026-01-31 16:28:00,node-t-8821,f42ec163770040b2bd52e9892aa76009,fae7086fa02ea9acd325ffc0a64cd5d6d7d52a25ce33692396762255a4cab921,True,3BF7B1C7AEE9456B00BF5356CFBF4E481615B8BC9467E003B2F423501B058FA7,9565.638,4725.613,14291.251,3554.443,111345088,0,1200000,166566,2026-01-31T07:27:54Z,242,
26,2026-01-31 16:28:37,node-t-8821,63dc89f689b948e2af2c7e1e07fead84,7380fd45069852860c6480465561779f947f1b801660b886a91a779cc070bb56,True,5CFFD3BA00EF13363EF58CBA23C12F5374B6FE2F15C6E65B7E72ABC37273C315,9757.569,4753.762,14511.331,3799.719,111345147,0,1200000,166566,2026-01-31T07:28:30Z,242,
27,2026-01-31 16:29:14,node-t-8821,8b6ab096c9134e1598091d7ceacb7aa3,bfaa075cb7a19e4ca9087cd002348ed101e9b3de41614a9d36bfdfbfce02be55,True,975823205A97D65697BB417856FB0C3361DA6C4A1A4ACF6627FCDFA7E0689334,9572.651,4738.827,14311.478,3611.979,111345207,0,1200000,166566,2026-01-31T07:29:07Z,242,
28,2026-01-31 16:29:50,node-t-8821,a973b51fae7a42efa29076531ce24435,15c85f7afe17192328ad757bc0d16cd87748ff6a45365b6c3418ae8c9e246f66,True,E3F4D15B36A8B8603912155697C5765287A0D4B54687C51D15A721855195BBE1,9670.681,4693.368,14364.049,3657.01,111345267,0,1200000,166566,2026-01-31T07:29:44Z,242,
29,2026-01-31 16:30:27,node-t-8821,8129d01f800e44ef8109603343527550,34a38799adf6dbeeae39be9a3395b0d6f55418c100716bb85e01e558a2e56547,True,D420CF46023F6411715561A112B8F82D8D2E48AB807A7C0539824DE1D022F3D1,9663.081,4728.034,14391.116,3701.043,111345326,0,1200000,166566,2026-01-31T07:30:20Z,242,
30,2026-01-31 16:31:04,node-t-8821,c252d05c825f41008cdd0641bd5f58b5,58a7e004d84759fe257290ad2c0c6667bd3657dd412c61403f35c7198c027742,True,F9F75C66B9A89E202FFF87576333AE796584E54765BB3BA143E2E49BF4143787,9779.559,4750.825,14530.384,3752.15,111345386,0,1200000,166566,2026-01-31T07:30:57Z,242,
31,2026-01-31 16:31:41,node-t-8821,c8a31d396448464db973f71d270f0562,1a617856385ff401029ad42916eeb146929cf54539d9872af88c4978da0b0159,True,557391FC77E4746D91170D3090BF6CFF044A7D3091701372C4AA43328FF4B3C0,9775.844,4727.101,14502.944,3796.691,111345446,0,1200000,166566,2026-01-31T07:31:34Z,242,
32,2026-01-31 16:32:18,node-t-8821,aa187e6cfc2d4f9d9491830a80008e6e,5ee5afd85179f7e55a35063300f4326e950d32bf89643fcf2e26286b6314a459,True,B07AACF016C3A02CA59DF1B1D4F55428BC673E7F43EBC408F537588ED1869FC4,9643.835,4750.631,14394.466,3649.074,111345507,0,1200000,166566,2026-01-31T07:32:11Z,242,
33,2026-01-31 16:32:54,node-t-8821,42d6605005014059bcd706af0d310114,f1473fa11d2efbf160a9dc87cccefc0b6977f376f292b333583f546af78774f4,True,23AA56BF4FF101D38F0720B195A849A18A1F4CB59032F7DB01404AA9D4BA0642,9797.358,4757.092,14554.45,3829.937,111345567,0,1200000,166566,2026-01-31T07:32:48Z,242,
34,2026-01-31 16:33:31,node-t-8821,09438d8351254b88869b7fa0b16dcbe5,9876d3c458475217a9856dd54f6ec51cbfe429d2d55a0b813547406713a24fd2,True,04A01899877F1BA39D653EDFA5EA505DAF0F4005642DC6390912BF7F8550EB67,9787.219,4723.049,14510.268,3820.662,111345627,0,1200000,166566,2026-01-31T07:33:25Z,242,
35,2026-01-31 16:34:08,node-t-8821,1a0b6eaa1ac743c18746c9ab1d6370d4,2e3a3e6b299777c3cfeb38262f6067f3828feaef577f57ea2d0bc6dd92c93534,True,ED8EEC3E4712B46ED4F0A545D832B7F3F830BA55D1045B1CCDE9AB45322DD4FA,9696.468,4725.41,14421.878,3712.209,111345687,0,1200000,166566,2026-01-31T07:34:02Z,242,
36,2026-01-31 16:34:45,node-t-8821,821fd7058d6c4a5c99d6767bc7df01e5,3dae7b41b09af5f016ab9618deabfa9aea5bca1d291fee4e121b66b09d89b6b9,True,D4BB858127444C8FBE9AB2625AFB2F4D292EC0A94CCA7098A2970EC3CCB7F6AC,9398.31,4743.309,14141.619,3438.27,111345746,0,1200000,166566,2026-01-31T07:34:38Z,242,
37,2026-01-31 16:35:21,node-t-8821,19e5fc24254543fd8f27dd823c5cac29,67292b26fb6c010db49232fa6ff4f3a79a11263c079be47bab592be2f5bfe227,True,A7D84A0F8FD7E20BAB1620CD98B5C9D7088B7CBC4215E55440A36582CBBA878A,9532.108,4740.297,14272.405,3567.864,111345806,0,1200000,166566,2026-01-31T07:35:15Z,242,
38,2026-01-31 16:35:58,node-t-8821,ad753092292d4d36a04f999d5ac6c79d,7643604434d37d867ae0a870fc313e95e4d6bc4ebc9470b54dc89eefc8bb4781,True,BDC96EB5D3D743127737FE41C26DDB29B3C3A1C81A7E5106A12915E661C35DCF,9893.776,4746.941,14640.717,3891.483,111345866,0,1200000,166566,2026-01-31T07:35:52Z,242,
