trial,local_time,node_id,qr_id,unique_id,tx_ok,txhash,txhash_ms,display_ms,total_ms,broadcast_ms_node,height,code,gasWanted,gasUsed,timestamp_chain,value_len,error
1,2026-01-31 18:16:14,node-t-8821,074811a875d74866bad2e3f767c51d20,c22cb3d83cd586fca3e62b6d51c3fc7d9fa05289e0354ef57fc240f8204a54e5,True,C7410A304E887A910BF6C62FAB16476EDCBDB1B401CFDEC9E87320F68AB922DD,9833.821,4744.734,14578.555,3850.748,111355652,0,1200000,166566,2026-01-31T09:16:08Z,242,
2,2026-01-31 18:16:51,node-t-8821,01428f040b714716a8ad0ace3f339312,1c41cd886c447e6dc31a72f8bf78a35396af4b8921079a3d5c871b474c176c5b,True,6CEF073A57E21DDB6DDBC29D5DF5167B1C06ACA9696B72F38C11DE8215CA7812,9572.547,4723.115,14295.662,3568.92,111355711,0,1200000,166566,2026-01-31T09:16:44Z,242,
3,2026-01-31 18:17:27,node-t-8821,490e2eb269874709b55c984a29b580ee,83df6b60f53d810c3347f91278bfa8656fd59ba652932ad89a8a6e33fe077777,True,8E15EE51F412002B71A9446622C9BF660019ED9AB2464D0AD773F0405D4E10DF,9420.857,4729.141,14149.998,3436.945,111355771,0,1200000,166566,2026-01-31T09:17:21Z,242,
4,2026-01-31 18:18:04,node-t-8821,e42d005fd9894559bd46e19afd306496,a5fb64d448ebb2abd1076948198ed65b7e30405259fc670ead1a7276e3fc77e2,True,72DF015FFCF6B54818459FE4A8A280846A0EFF1B8162956088CD3E800B6C8C42,9511.148,4738.042,14249.19,3556.785,111355830,0,1200000,166566,2026-01-31T09:17:57Z,242,
5,2026-01-31 18:18:40,node-t-8821,4fa030457fff47e29672ca090708d96d,12ed6598d10e137db339177d558c5e24ecb55aaa8c6532e0248adc10aaa103ec,True,6D43EA0D73AD0E539545CAB22F7538737191B719273592AC7B9F00790EB861B3,9471.306,4759.966,14231.272,3510.175,111355889,0,1200000,166566,2026-01-31T09:18:34Z,242,
6,2026-01-31 18:19:17,node-t-8821,940da1f047fa4e85b2e817589ae60d3b,ee9ac4d1553f4f8bfe74317549af969d7a39f26e8110e9a9dc7d76c73cdeba9d,True,06B75C287F5447C0DD1D046337C090FBDFA40D90C165D129005115F76D22E008,9668.746,4726.857,14395.603,3643.157,111355949,0,1200000,166566,2026-01-31T09:19:11Z,242,
7,2026-01-31 18:19:54,node-t-8821,2cafa66f0f6b4f4ca2e3d836933b650f,cedd95750ddc92a2309cf6148ed9fdc3cf445318eac59d073349f2854b295350,True,3B7A549C5623F9E5A675EA783D074D41B683949E8BA879392A42F0ADE0FB0C8F,9666.486,4752.629,14419.115,3710.32,111356009,0,1200000,166566,2026-01-31T09:19:47Z,242,
8,2026-01-31 18:20:30,node-t-8821,4bb9e8f3d7b64aaab9f29d7815cd784f,33b065c05b28ad099bb3201cf0f667ecc0b4f793f805f3d51c1790b5e4deb3fc,True,8DE58BB6FA05E6165587BF3914A858A3E5B1AA10144D750BC7EFB5926C5F5A73,9471.305,4730.376,14201.682,3502.747,111356069,0,1200000,166566,2026-01-31T09:20:24Z,242,
9,2026-01-31 18:21:07,node-t-8821,37af9344ad5f489da5bd98014c620257,b89834ebe414a7e000cadc7f048a41e09066d6c2fd247aa538f2ef2c0ccb552b,True,9FCDF73BF6FCEF49FD5D90BB500C8A435C77600B7CFD69087BEC750CD12DC67B,9416.606,4753.719,14170.325,3422.152,111356129,0,1200000,166566,2026-01-31T09:21:01Z,242,
10,2026-01-31 18:21:44,node-t-8821,bca03feb165346c687037b6ed96626af,d7579094ad2ce392436dde4ed17dfa0341733ab9ea1ee2e201c156362f7c1267,True,3BCA5E2C5B706F680B877BBFCB2C7CA6686CAD3503516063DCD72AF6FE69BE84,9686.766,4754.444,14441.21,3674.416,111356189,0,1200000,166566,2026-01-31T09:21:37Z,242,
11,2026-01-31 18:22:20,node-t-8821,d67229173b004a0d92336cb03e4298de,31f734d68995b7f8c6fc22350bdaef513d7019b3dda84db5124a6ba314bf718a,True,E5348AAE67C38A98F80625FFDB7F7C87C1EC4499C1570E3F81FD845EBE1EE4AC,9647.972,4744.689,14392.661,3677.304,111356248,0,1200000,166566,2026-01-31T09:22:14Z,242,
12,2026-01-31 18:22:57,node-t-8821,9b735e9c0f9141a693612306bf4e49ab,7782a150596e0950f6b3b7907414cd798ba4b14d19feb0caa18c3dd9962911ba,True,80130A84469192036B38B6289D7B0F0FB175290C7E5CA179EF65102A67934CBF,9729.253,4734.07,14463.323,3737.947,111356308,0,1200000,166566,2026-01-31T09:22:51Z,242,
