trial,local_time,node_id,qr_id,unique_id,tx_ok,txhash,txhash_ms,display_ms,total_ms,broadcast_ms_node,height,code,gasWanted,gasUsed,timestamp_chain,value_len,error
1,2026-01-31 15:11:38,node-t-8821,d5c9776c4a6945048b9da0060a47e78e,9d88cfd0ecd11dd0ea754ce1b0f734a33fd94c8971f0565e0849b06e53e9e55c,True,AD8AA684258A71A8E33506B7B82B3E689499D4C08D4815BE840233E604FCC6F9,9686.973,4693.425,14380.398,3712.059,111337636,0,1200000,166566,2026-01-31T06:11:32Z,242,
2,2026-01-31 15:12:15,node-t-8821,909a3c8abb424c02a58d9f77bf013d62,1cf42491c359b411aa4b8a6890bd0b5c2ade3c7ee2e2a60df483d259b2d93884,True,989A32D2CD43ADD29D188484BB49E8043A8675F6E312541303384F669ED4CDD5,9695.455,4746.595,14442.049,3731.153,111337696,0,1200000,166566,2026-01-31T06:12:09Z,242,
3,2026-01-31 15:12:52,node-t-8821,271f1872af234b13889a7ed9d3b4694f,e98e84afecb9c439735adb4bf2facd4d469d2ab14880cc8308f54dc129cd5182,True,7166C3FB9B4419EF44320ED6FD4D4303C9C3BAE7CE3282EB8A0C5FCA748B2AAC,9660.445,4740.012,14400.457,3683.994,111337756,0,1200000,166566,2026-01-31T06:12:46Z,242,
4,2026-01-31 15:13:28,node-t-8821,3ee63cf6d4e941eda0edbd466c5d00c9,250daec2bf603248ae8496c355689d19ceacc9782ebedbb278ef60adeb4eb67a,True,490DD47F65E64FCC96A7B8124B73A72A9A18A0A826E9A18322D84FAF2E4C8381,9545.795,4720.714,14266.509,3586.349,111337815,0,1200000,166566,2026-01-31T06:13:22Z,242,
5,2026-01-31 15:14:05,node-t-8821,6e995a115dea443e98f83ca705d01255,d9eced4eb0a06b6e6a948e9eb5d5be7ea9fe0bce282234af81e703f55644e65a,True,1087EAF527E432C55EC0A5728F231389E8AD5DAF5770B64074ACE0111FAAC3EB,9713.081,4742.985,14456.066,3712.407,111337875,0,1200000,166566,2026-01-31T06:13:59Z,242,
6,2026-01-31 15:14:42,node-t-8821,9421b1f53a4040aabb4aea5cc4515e26,9ef8895be690a59aa3ec9ad30f5d918525f8d7b2d4261a01eef9d2e276ae6c57,True,942C0B3C07DC9C48A29113E615B3B2E5F26961843FED3C2D4DA2CAD0C55B0A99,9682.612,4740.132,14422.745,3727.308,111337934,0,1200000,166566,2026-01-31T06:14:35Z,242,
7,2026-01-31 15:15:19,node-t-8821,9ad3a1639c9d429ca31b64ed9efcdd8c,ea2c329bfb59c472f0ffe75588f679d8a07db8c922be9972207a77365ef0eca5,True,57BFED38F427B5BDF92350D0711D5761F4F9283346BE6D21A9DB8A87C0E810D2,9840.181,4739.597,14579.777,3836.062,111337994,0,1200000,166566,2026-01-31T06:15:12Z,242,
8,2026-01-31 15:15:56,node-t-8821,a6b4e4a34b2144aaa3ec6c80c95c953a,327f3d289e7cce6ffbf90e5b4e017f6dde3e332af3cf86b493ad6f360513a54f,True,25E3484AC20936AE6A5B1BE92FEC33721FAA6B0B9551DA9F4EE5B8C8024C9B51,9977.597,4726.059,14703.656,3969.181,111338054,0,1200000,166566,2026-01-31T06:15:49Z,242,
9,2026-01-31 15:16:33,node-t-8821,d3446943121e42999e00b68a1a12aae4,1495e380fb367a6febde0ea43525e6ecee2b87319f7daa0634bf9b6bb58de529,True,2D6759D9D16E0967B2C7E3B9F1AE24DF9C5D24D1B3C1A2078D42BE9E78A4A749,9763.227,4738.142,14501.369,3793.171,111338114,0,1200000,166566,2026-01-31T06:16:26Z,242,
10,2026-01-31 15:17:10,node-t-8821,c82c29fdd8de4cd4b9ba6896511262ac,cd269a39cd55caebebbdaf412ced0564336117efb6a38751ba0ad670d930b5ed,True,477B54AAF171B9AD394BF6EE192A0E1B976345FDF9C02DCAEE1F3F998D50576D,9973.662,4729.726,14703.387,4034.061,111338175,0,1200000,166566,2026-01-31T06:17:03Z,242,
11,2026-01-31 15:17:46,node-t-8821,4e5f06630d664801b6335a0feb416599,d55e86f08c20f30cfa6da1faf932191cc25d6fad0e2c4f0f45735b96f1d287aa,True,7923C32F269762F56DC348734CB4D43616FAD832D9C2AD13E86570B6208EBE1A,9659.796,4749.042,14408.838,3697.499,111338234,0,1200000,166566,2026-01-31T06:17:40Z,242,
12,2026-01-31 15:18:24,node-t-8821,3c9216def9d148d49e47d19f09d26302,79c5822c44d01c2c357b8a3edcada4900e5ba7c011614748e7afbadc727c50d2,True,6DBAE36E15CC1BD7238FD09DA843D96CE0BC27888D844B3677EA467F03E8F6E1,10060.928,4728.829,14789.756,4075.461,111338294,0,1200000,166566,2026-01-31T06:18:17Z,242,
13,2026-01-31 15:19:00,node-t-8821,03088ea042be49eeb98b7db4dfe1a3c0,99618f133dee4cb39aef58c64990d91670e5e24e7f60c6c18ddea1c564058865,True,A0E1578E3638CD589034F65F5624DC759ACA65A56B6FF553837BFFD7A2D4F929,9457.747,4725.995,14183.742,3517.493,111338354,0,1200000,166566,2026-01-31T06:18:54Z,242,
14,2026-01-31 15:19:37,node-t-8821,f896e9e4585b4f778da7c9f49a9a4a80,fc31f7e6c79264b93aadc1dece7704fdae17bd1844320ca7d4d708ef0a15496e,True,5C0421261446533231B78236F328E31F5DF03D9A4A96BE7D0120C812A605E2C2,9509.378,4727.136,14236.514,3555.437,111338413,0,1200000,166566,2026-01-31T06:19:30Z,242,
15,2026-01-31 15:20:13,node-t-8821,aecc9310ed6f480286fdb3b332ab65fa,8ef4c821ca084e4d4b11e25bceb024b35633f63560ffaa41ea3a04e099a3e799,True,6F92B86047BADECE612DC02C6538E53D5C9165CADE5EC5DDF90E590B0977EF2F,9610.799,4721.163,14331.962,3603.252,111338473,0,1200000,166566,2026-01-31T06:20:07Z,242,
16,2026-01-31 15:20:50,node-t-8821,2846cecc42c04e40a7a7b09f70c7ad81,7401e302d5d000c989160c689b7d66d888fb7f69f254531cde68fb8ce8f00a3e,True,D64BABBB3133763EB78FC47B6ABF96F5A7A9EE3F396879C3442F4CE51F24E9A1,9677.014,4742.553,14419.567,3690.373,111338532,0,1200000,166566,2026-01-31T06:20:43Z,242,
17,2026-01-31 15:21:27,node-t-8821,111bb13582f84516801805a3597fc36f,8fdc0a14addf1c1df3df469c1f08b77ff828d8394d96258daff1316945e645f3,True,873BF7F2BC2C8A612F233ABD46FDC9AFE98C7CDD222432A72ACC50CEA1A2D709,9602.837,4749.188,14352.025,3597.213,111338592,0,1200000,166566,2026-01-31T06:21:20Z,242,
18,2026-01-31 15:22:03,node-t-8821,12e97f56cd5e43119e1eec5a4662b15c,afda7fc4af00b7a85ce12c6ca0a0c043f8c51c28fc25982bd3eb2cb16f6d0449,True,AF50F4949E0FEFCD6F3B32E2E99837942301DB94077C69662BF3C6B7E72A39EC,9693.395,4719.54,14412.935,3672.479,111338651,0,1200000,166566,2026-01-31T06:21:57Z,242,
19,2026-01-31 15:22:40,node-t-8821,e35bc42f862e44f2964c69dbacdbd04a,3519f3a776210550e27a1d7eec91338115c81beca89dcad9ffb130cc65d0ab90,True,169825C67A61DE9D6F341C7F671EF59B1D639D1DC2CCE119CFA49E6F64A0A940,9853.95,4756.903,14610.853,3899.338,111338711,0,1200000,166566,2026-01-31T06:22:34Z,242,
20,2026-01-31 15:23:17,node-t-8821,357c6a3786d3475082d7f4099ff54ad4,3d5ac9bf3293e1bf263c2bfaf7bd9465361e76130a9c3ad9be5d6aa31073fa7d,True,C3B09C5E8BA4AC809FEAFB9D5B9AD25C63882C8FCBD1259C1167322C88E0403A,9445.459,4691.411,14136.87,3477.873,111338771,0,1200000,166566,2026-01-31T06:23:10Z,242,
21,2026-01-31 15:23:53,node-t-8821,f6ca724bdc6543b9b13428c857f345cb,76d2d0cabcbd8863ee78d794d32d66f1c654662b5b2ce3492805363adb93194b,True,1E893F2791D9527B73FE06DC22414A8E4B06EEBAF1A63CABEC40B35EEE915C40,9475.853,4727.501,14203.354,3497.911,111338830,0,1200000,166566,2026-01-31T06:23:47Z,242,
22,2026-01-31 15:24:30,node-t-8821,bc268f3ef5984cdb85d7a5b2e27d2155,453bb927dfe97a94b54806ec1af7be6994311a0d916d891dba94550c97d7525b,True,09259078B4A9220561D9140E5890BF88862C72756FFB38A2D46C1A3AD8F09D7E,9799.241,4750.996,14550.237,3823.777,111338890,0,1200000,166566,2026-01-31T06:24:24Z,242,
23,2026-01-31 15:25:07,node-t-8821,a5355769dd4945b4a02eb52c0e9bec32,f4f6971baa6c1519f07da89a6891ea7ef99a62e5aaca377d95437718cdb25928,True,0664F8089ACD04C17F256765BF85231A1EF6785F6FF655C623EB0259B24845AE,9789.852,4752.48,14542.332,3752.241,111338949,0,1200000,166566,2026-01-31T06:25:00Z,242,
24,2026-01-31 15:25:44,node-t-8821,5670fd07b10c4399b14c74375afbf410,6f1884b56a14922af55cf7feaf19a75a948dd8a54c78779ed8bb837b8dbbcb7f,True,76983F2251B83C52279C448849501DBD54421E057779AB93C71B95971D643CD5,9770.284,4746.251,14516.535,3823.54,111339009,0,1200000,166566,2026-01-31T06:25:37Z,242,
25,2026-01-31 15:26:21,node-t-8821,3576f600c65141149a8a3394ba589de7,9a5b33bd711b1977e82004f03a4a95720e9661b39ffd0126b2996453f27c4ce5,True,2DE16ED5B5F65364F83967944D3141D4BC6985AD5A737525727A2868D75D70B5,9584.424,4728.264,14312.688,3583.563,111339069,0,1200000,166566,2026-01-31T06:26:14Z,242,
26,2026-01-31 15:26:57,node-t-8821,da1a33c6329945198e32e1e495c0b926,91d1925f6f8550a87f0852260d35f088b948779ebf39bdc641705a9ceb1c7922,True,90643F7FC8ECAD4BB515ED3D7D39C1282DD1A62154C240F7EFB082A4DD6878C4,9593.9,4748.255,14342.154,3676.736,111339128,0,1200000,166566,2026-01-31T06:26:51Z,242,
27,2026-01-31 15:27:34,node-t-8821,d369b5bcceda47528f339d6ed8af4255,34d70390479c593906c674db7f69bcaa1ef9ee71b320b37a973b25e767106a10,True,38E25CF8A1C7623F6E83A6BC9CED20171B5F36A8705245D3C4403A93D7B1CFF3,9783.113,4694.02,14477.133,3799.291,111339188,0,1200000,166566,2026-01-31T06:27:28Z,242,
28,2026-01-31 15:28:11,node-t-8821,f25a887c52ee41ae97dbad157ef261e0,9a2303794c0cab2e5c03fc857f3aac1cac9cd49d159901fbe92988138cb3d9b4,True,95ED02E32545DD926258A69667AB46C8D3F50A66CA4E000920BD3464EC956AC5,9773.521,4753.58,14527.101,3789.909,111339248,0,1200000,166566,2026-01-31T06:28:04Z,242,
29,2026-01-31 15:28:47,node-t-8821,c44b57e8fa4a41deaf52f59e30f14428,b5a38e47494a35aa62d3444f76d76b1903d88d52a2c33e4222875b5cb0852ab7,True,30A415320D3753BD4BF75F381B4A2DD2FC15FBF4F9D5789F59906462A613A645,9426.943,4732.601,14159.544,3452.539,111339308,0,1200000,166566,2026-01-31T06:28:41Z,242,
