metric,n,min,p50,p95,max,mean,median
txhash_ms,400,9308.748,9630.583999999999,10021.393049999999,11991.026,9669.18281,9630.583999999999
display_ms,400,4689.399,4744.4865,4756.9047,4770.704,4739.2262,4744.4865
total_ms,400,14055.766,14374.340499999998,14752.0389,16711.353,14408.408995,14374.340499999998
