trial,local_time,node_id,qr_id,unique_id,tx_ok,txhash,txhash_ms,display_ms,total_ms,broadcast_ms_node,height,code,gasWanted,gasUsed,timestamp_chain,value_len,error
11,2026-03-15 15:37:49,node-t-8821,e4a7b9490adc4937bdf06990e4189650,35cb8820a9da597eb9413e90981e9e5553b3f817b83bedb968d85b2bdee887c1,True,1FC89BFF02001A9FD77AA5724E522FDD65EA3A3B7A4D55351B16DB10700A99A2,10883.405,4752.414,15635.818,4889.928,117260050,0,1200000,164123,2026-03-15T06:37:43Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,path:out/profile_baseline_rpc_status.json,baseline-rpc-status,42,61.359,22.215,512.0,2048.0,0.0,0.0,0.001,3.0,10.0,306,382,37.664,40.644,False,False,False,False,,
12,2026-03-15 15:38:27,node-t-8821,e4bf78cc646b42f284cec2732b5c46f9,a42bc505138cec227a1f817a4e84a75b621daae6123f4194110ff91d2e501bad,True,EEAFDD4F3D4DF9B01588F2400005F49BA356A0B9731A3633D1468F05BEC8D73F,10987.51,4697.764,15685.274,4984.836,117260112,0,1200000,164123,2026-03-15T06:38:21Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,path:out/profile_baseline_rpc_status.json,baseline-rpc-status,42,61.359,22.215,512.0,2048.0,0.0,0.0,0.001,3.0,10.0,306,382,43.997,47.965,False,False,False,False,,
13,2026-03-15 15:39:05,node-t-8821,710f6a0c5185427d901a7bf6e153fadd,ed239cda7c9c0a80ab3f6178e909ba8aa0050b173b1f0780a8086c4b9de7e963,True,938CA82FB6E4223522B091DD3E16D50E9C395ECFB2ABA368727A4C110E47067C,10803.933,4743.788,15547.721,4847.94,117260174,0,1200000,164123,2026-03-15T06:38:59Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,path:out/profile_baseline_rpc_status.json,baseline-rpc-status,42,61.359,22.215,512.0,2048.0,0.0,0.0,0.001,3.0,10.0,306,381,26.427,21.247,False,False,False,False,,
14,2026-03-15 15:39:43,node-t-8821,94dc39061d4b418babadac2f9980406d,9ec2689a0afc0f2652fe5ef84caa468546e005f21ba8d807fc365445a282749e,True,22EAF12D93A83BFC47B749994CD0980A9EB8E50B7C693D762B0932F7507D8087,11089.619,4746.473,15836.091,5104.867,117260235,0,1200000,164123,2026-03-15T06:39:36Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,path:out/profile_baseline_rpc_status.json,baseline-rpc-status,42,61.359,22.215,512.0,2048.0,0.0,0.0,0.001,3.0,10.0,306,382,35.833,34.985,False,False,False,False,,
15,2026-03-15 15:40:22,node-t-8821,5cd4e7123f14466ebb7551f5265e6188,abd0ec7e4dac8e595b397132791ba719f0e337152ac48192faed9d9674a1e2ee,True,99F3A845198F77610B2863452A49949C58D6FCAE76A2DAB318A545495A69570C,11264.89,4723.99,15988.88,5279.948,117260298,0,1200000,164123,2026-03-15T06:40:15Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,path:out/profile_baseline_rpc_status.json,baseline-rpc-status,42,61.359,22.215,512.0,2048.0,0.0,0.0,0.001,3.0,10.0,306,382,56.727,24.198,False,False,False,False,,
16,2026-03-15 15:41:00,node-t-8821,25f3e2753e0e447a80195a856acc0188,7eadb514e8a2f1938880bb84313581b44b73c98553c164b3b38eea897ec9ac29,True,8A455968B8094D47EC7150B6F436BB09627DD671A6EFB18179B5599582A767E0,11006.727,4737.137,15743.864,5019.723,117260360,0,1200000,164123,2026-03-15T06:40:53Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,path:out/profile_baseline_rpc_status.json,baseline-rpc-status,42,61.359,22.215,512.0,2048.0,0.0,0.0,0.001,3.0,10.0,306,382,46.038,25.876,False,False,False,False,,
17,2026-03-15 15:41:38,node-t-8821,ad521d7aabbe4e5fb76962ac3f37be1c,466f12c2f2b6b450af6b8c472c70c1d21185dccea73910d570117ce3c92b97e6,True,5A3B40430C1235DC6673F0060F3F432E53FB62E708D7CC17F8EBAE41787521E5,11265.11,4754.493,16019.603,5277.777,117260422,0,1200000,164123,2026-03-15T06:41:31Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,path:out/profile_baseline_rpc_status.json,baseline-rpc-status,42,61.359,22.215,512.0,2048.0,0.0,0.0,0.001,3.0,10.0,306,382,34.283,46.848,False,False,False,False,,
18,2026-03-15 15:42:16,node-t-8821,aeb523cdbdce47eb80ee3c76974625ea,4bd37104ecad86862e7d4490c9ac4a9586e084323116b9b1af315b9a4862637d,True,227F95F2DBABBA93A44F9D2789C3938C77340E4CC7D38992EDCDBC567D1FBE93,10767.851,4759.641,15527.492,4768.795,117260484,0,1200000,164123,2026-03-15T06:42:09Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,path:out/profile_baseline_rpc_status.json,baseline-rpc-status,42,61.359,22.215,512.0,2048.0,0.0,0.0,0.001,3.0,10.0,306,382,48.717,31.967,False,False,False,False,,
19,2026-03-15 15:42:54,node-t-8821,cb1debf716d44305b58e0ce6d45bbecf,c3fdec623520b3e15d9cbd80e9353bd45a4cef38224f80cf94da3a41e9ea2766,True,AA9D2E6910026122D83376CBB9777A0B8394789549F8E1D4C311F8E6310E0957,10761.45,4754.677,15516.126,4800.919,117260546,0,1200000,164123,2026-03-15T06:42:47Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,path:out/profile_baseline_rpc_status.json,baseline-rpc-status,42,61.359,22.215,512.0,2048.0,0.0,0.0,0.001,3.0,10.0,306,382,21.756,18.039,False,False,False,False,,
20,2026-03-15 15:43:32,node-t-8821,6b5921a32e984bbd9256ca577d3dddb5,84701e12b5f0f1f6b457dd94faeaa9f12eb8b7955c43d657ad5efd9d0eb037bf,True,7D1EBBF25C9EEA42D2E49C87287E7890F14CEA05021322105EB9FF9D32E416F7,11209.688,4698.994,15908.682,5200.972,117260608,0,1200000,164123,2026-03-15T06:43:25Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,path:out/profile_baseline_rpc_status.json,baseline-rpc-status,42,61.359,22.215,512.0,2048.0,0.0,0.0,0.001,3.0,10.0,306,382,49.089,31.84,False,False,False,False,,
