trial,local_time,node_id,qr_id,unique_id,tx_ok,txhash,txhash_ms,display_ms,total_ms,broadcast_ms_node,height,code,gasWanted,gasUsed,timestamp_chain,sender,contract,network,value_len,subprocess_returncode,error_type,error,stderr,net_emulation,net_profile_source,net_profile_name,net_seed,net_base_rtt_ms,net_jitter_ms,net_uplink_kbps,net_downlink_kbps,net_loss_prob,net_timeout_prob,net_outage_prob_per_call,net_outage_duration_min_s,net_outage_duration_max_s,net_tx_bytes,net_rx_bytes,net_pre_delay_ms,net_post_delay_ms,net_outage_active,net_outage_started,net_timeout_injected,net_loss_injected,net_stage,net_note
1,2026-03-15 16:39:53,node-t-8821,90ce288fb6f5485cb45f5526571fc719,4b6bdc49e56eee86a976af7b91329a84e3251f98a2a99fc16fc55fb2c0971223,True,19FFC12D1304ED1294357EF740B8734F0CE6022DD9D6EB4AD9B03B34D81916BD,10910.56,4746.977,15657.538,4895.241,117266120,0,1200000,164123,2026-03-15T07:39:46Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:baseline,baseline,42,61.359,22.215,512.0,2048.0,0.0,0.0,0.001,3.0,10.0,306,382,44.259,33.566,False,False,False,False,,
2,2026-03-15 16:40:31,node-t-8821,98c0dc4447094ac681cd14b17a5879ee,1bdf140e58b9d5c2954569b4f73b929d14d05970772a2ff2f871bcc4d7a17b1b,True,A1E5CC6BAC13B8091BCC495FA243FF30042B5E303BD034943C4C0D112BBCDCBB,10859.395,4742.886,15602.281,4871.722,117266181,0,1200000,164123,2026-03-15T07:40:24Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:baseline,baseline,42,61.359,22.215,512.0,2048.0,0.0,0.0,0.001,3.0,10.0,306,382,39.152,29.202,False,False,False,False,,
3,2026-03-15 16:41:10,node-t-8821,b664321777ef40f789a21eee0590b7bf,20e93dc8bb6d56257e4e2ec252d40ee9188669616bac0efa1d57761cb6b0d4b0,True,64ED399D983DFC8727027CA155A48857ACD7EF339EF856839D543F4F45F776A0,11541.659,4731.701,16273.36,5602.57,117266244,0,1200000,164123,2026-03-15T07:41:02Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:baseline,baseline,42,61.359,22.215,512.0,2048.0,0.0,0.0,0.001,3.0,10.0,306,381,32.886,32.081,False,False,False,False,,
