failures,goodput_mean_mbps,header_mean_ms,header_p95_ms,loss_percent,returncode,rtt_avg_ms,rtt_max_ms,rtt_mdev_ms,rtt_min_ms,runs,section,success,success_rate,target,total_mean_ms,total_p95_ms
,,,,0.0,0,61.359,145.945,22.215,43.846,,ping,,,1.1.1.1,,
0,0.020645,495.25825,1027.9169,,,,,,,20,http,20,1.0,https://injective-testnet-rpc.publicnode.com:443/status,495.881541,1028.550875
