trial,local_time,node_id,qr_id,unique_id,tx_ok,txhash,txhash_ms,display_ms,total_ms,broadcast_ms_node,height,code,gasWanted,gasUsed,timestamp_chain,sender,contract,network,value_len,subprocess_returncode,error_type,error,stderr,net_emulation,net_profile_source,net_profile_name,net_seed,net_base_rtt_ms,net_jitter_ms,net_uplink_kbps,net_downlink_kbps,net_loss_prob,net_timeout_prob,net_outage_prob_per_call,net_outage_duration_min_s,net_outage_duration_max_s,net_tx_bytes,net_rx_bytes,net_pre_delay_ms,net_post_delay_ms,net_outage_active,net_outage_started,net_timeout_injected,net_loss_injected,net_stage,net_note
1,2026-03-15 23:16:56,node-t-8821,426f5b4e5cb04c93a6d32ece764cf4d7,b348e3cfed80379d77173c9550f3d2c600fc023c95fd626bc33911db6a291c55,True,B0FD4F1C20904E4CD29CB60240F7EC9CC675D86750C3BBDCB393FCF4F78F4BA5,11356.281,4701.184,16057.465,5228.087,117304862,0,1200000,164123,2026-03-15T14:16:49Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,101.346,76.436,False,False,False,False,,
2,2026-03-15 23:18:22,node-t-8821,8c0ef3c77a874f8281e25f1937a3191c,5ec12724243d64be042702c1f68ed348db09b2ba4eb5bdb932b1c901e1392e87,False,,59026.993,4680.285,63707.278,,,,,,,,,,242,0,EmulatedTimeout,emulated timeout,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,88.701,65.633,False,False,True,False,post,emulated timeout
3,2026-03-15 23:19:01,node-t-8821,c6c173f59147474abe2521e747618a22,03c1ae3801312120976f4ac2de22e285d4ca3128ac507345dc945c196afec0e3,True,9D1DBD95849C46745180D9A759D8999D65797EA7873C10B0DD21FAA5D9BDFC6D,11636.522,4697.565,16334.087,5569.933,117305064,0,1200000,164123,2026-03-15T14:18:54Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,73.188,72.77,False,False,False,False,,
4,2026-03-15 23:19:39,node-t-8821,fdf58f5ba923458488919ebba57795b0,0da2e986daad545832ad45dba7d54962b34b5f5fca5e3732b9afad5e69cc08f2,False,,11191.624,4676.949,15868.574,,,,,,,,,,242,0,EmulatedNetworkError,emulated packet loss / connection failure,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,380,86.337,109.023,False,False,False,True,post,emulated packet loss / connection failure
5,2026-03-15 23:20:17,node-t-8821,557e3368c6924d6486bbb12929d3dad5,04948674354a58281bc98e6a7c9480722666188471d4d8bbf213dc6ffe196def,True,2AFA37042013501102E9DF5194A2BE3737FD55EB401EDAF6CA27CA1147F1FFF1,11405.516,4759.392,16164.908,5346.47,117305188,0,1200000,164123,2026-03-15T14:20:10Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,381,71.534,49.216,False,False,False,False,,
6,2026-03-15 23:20:56,node-t-8821,b18b0af6b318447b8f69d4c2fb757f83,cc661ca8459e690b3f2d6183b3229a8627f2c739b311e28be2565df15bb6279d,True,91A93F43D1FCA5626604BBB4CFDB3509DC86E727BCA616AEF69C2478B951476F,11786.989,4747.142,16534.131,5734.658,117305251,0,1200000,164123,2026-03-15T14:20:49Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,89.919,79.81,False,False,False,False,,
7,2026-03-15 23:21:35,node-t-8821,e40de694a014440884e59c74e4e53028,33f7aacaedba57814db91918564ccd858391517445a12c0f473e69c95ebded74,True,A5CE3A826C942F7497D08748D8BC51D3BA9A12E697E41F1FD7EBB6632417362E,11752.955,4706.997,16459.952,5701.181,117305314,0,1200000,164123,2026-03-15T14:21:28Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,75.233,39.17,False,False,False,False,,
8,2026-03-15 23:22:13,node-t-8821,7a3298b8c52f4c9f9d070f63bef5e730,afbbdfc83a1dd5b22af9ba1d5473111c9ad6532abfaae82521993131509e9b5f,True,68068786C962142A0E3AAC3E4CA258DEA8A1A7ECB62CF6F0208577D6DABB9816,11162.691,4690.224,15852.915,5117.646,117305377,0,1200000,164123,2026-03-15T14:22:06Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,97.83,39.46,False,False,False,False,,
9,2026-03-15 23:22:51,node-t-8821,1c958f83b38f45d3a710bff40387350c,daf498889ed02b6c4556278f36546b00f7c272a034f66c3c4f17a379a64ed40c,True,1BC095E30EB0F91B50A9790EC8BFAE04B7EF0EFC13E5BB01810F1302B5D77AD3,11539.909,4694.738,16234.647,5409.914,117305439,0,1200000,164123,2026-03-15T14:22:45Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,98.527,78.601,False,False,False,False,,
10,2026-03-15 23:23:30,node-t-8821,6b51ea85fb8f40a79daa62cb05e3d01e,d969d8f2bc868971c6c92e0a7b2977b3ca89362609da74dbe564062b711d7ede,True,2DC6F7E4906DDC8A8308F176978B16055C3F594BFA3FB0A61902FE9FDE545F80,11830.631,4707.169,16537.8,5727.624,117305502,0,1200000,164123,2026-03-15T14:23:23Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,97.436,86.143,False,False,False,False,,
